Massachusetts,29,Strong Democratic,Democratic
Vermont,25,Strong Democratic,Democratic
Hawaii,25,Strong Democratic,Democratic
New York,23,Strong Democratic,Democratic
Maryland,23,Strong Democratic,Democratic
California,20,Strong Democratic,Democratic
Connecticut,19,Strong Democratic,Democratic
Illinois,16,Strong Democratic,Democratic
New Jersey,15,Strong Democratic,Democratic
Washington,15,Strong Democratic,Democratic
Maine,13,Strong Democratic,Democratic
Delaware,13,Strong Democratic,Democratic
District of Columbia,91,Strong Democratic,Democratic
New Hampshire,12,Strong Democratic,Democratic
New Mexico,10,Strong Democratic,Democratic
Oregon,9,Lean Democratic,Democratic
Minnesota,8,Lean Democratic,Democratic
Rhode Island,7,Lean Democratic,Democratic
Virginia,7,Lean Democratic,Democratic
Colorado,7,Lean Democratic,Democratic
Nevada,7,Lean Democratic,Democratic
Pennsylvania,6,Lean Democratic,Democratic
Michigan,6,Lean Democratic,Democratic
Georgia,1,Competitive,Competitive
Florida,1,Competitive,Competitive
Wisconsin,0,Competitive,Competitive
Iowa,0,Competitive,Competitive
Arizona,0,Competitive,Competitive
Nebraska,-1,Competitive,Competitive
North Carolina,-1,Competitive,Competitive
Kentucky,-3,Competitive,Competitive
Texas,-3,Competitive,Competitive
Ohio,-4,Competitive,Competitive
Montana,-7,Lean Republican,Republican
Indiana,-8,Lean Republican,Republican
Louisiana,-8,Lean Republican,Republican
Oklahoma,-8,Lean Republican,Republican
Missouri,-9,Lean Republican,Republican
South Carolina,-10,Strong Republican,Republican
South Dakota,-11,Strong Republican,Republican
Kansas,-11,Strong Republican,Republican
West Virginia,-12,Strong Republican,Republican
Mississippi,-12,Strong Republican,Republican
Tennessee,-13,Strong Republican,Republican
Arkansas,-13,Strong Republican,Republican
Idaho,-16,Strong Republican,Republican
Alabama,-17,Strong Republican,Republican
Alaska,-18,Strong Republican,Republican
North Dakota,-25,Strong Republican,Republican
Utah,-28,Strong Republican,Republican
Wyoming,-34,Strong Republican,Republican
