leanings,color
Alabama,red
Alaska,red
Arizona,gray
Arkansas,red
California,blue
Colorado,blue
Connecticut ,blue
District of Columbia,blue
Delaware,blue
Florida,gray
Georgia,gray
Guam,gray
Hawaii,blue
Idaho,red
Illinois,blue
Indiana,gray
Iowa,gray
Kansas,red
Kentucky,gray
Louisiana,gray
Maine,blue
Maryland,blue
Massachusetts ,blue
Michigan,blue
Minnesota,blue
Mississippi,red
Missouri,red
Montana,red
Nebraska,red
Nevada,gray
New Hampshire,gray
New Jersey,blue
New Mexico,blue
New York,blue
North Carolina,gray
North Dakota,red
Ohio,gray
Oklahoma,red
Oregon,blue
Pennsylvania ,gray
Rhode Island,blue
South Carolina,red
South Dakota,red
Tennessee ,red
Texas,gray
Utah,red
Vermont,blue
Virginia,blue
Washington,blue
West Virginia,gray
Wisconsin,gray
Wyoming ,red
